,ID,Year,Mo,Da,Hr,Mi,Sec,X,Y,Z,MHEL,Detection,ERR1,ERR2,AZIM,ERRZ
217,0,2018,6,5,3,15,26.008,25491081,6675702,-6087,-0.93,1,999999,999999,999999,999999
218,0,2018,6,5,3,17,38.269,25491081,6675702,-6087,-1.18,1,999999,999999,999999,999999
219,697,2018,6,5,3,19,54.927,25490836.52,6675518.563,-5802,-0.51,0,64,19,103,41
220,0,2018,6,5,3,20,21.809,25491081,6675702,-6087,-0.98,1,999999,999999,999999,999999
221,0,2018,6,5,3,22,2.356,25491081,6675702,-6087,-0.54,1,999999,999999,999999,999999
222,0,2018,6,5,3,27,49.36,25491081,6675702,-6087,-1.05,1,999999,999999,999999,999999
223,699,2018,6,5,3,28,41.799,25490903.28,6675375.144,-5704,-0.52,0,41,16,91,29
224,0,2018,6,5,3,28,52.534,25491081,6675702,-6087,-0.44,1,999999,999999,999999,999999
225,0,2018,6,5,3,32,40.091,25491081,6675702,-6087,-0.51,1,999999,999999,999999,999999
226,700,2018,6,5,3,33,23.709,25491157.47,6675784.372,-5998,-0.24,0,87,24,102,45
227,0,2018,6,5,3,33,50.979,25491081,6675702,-6087,-0.86,1,999999,999999,999999,999999
228,0,2018,6,5,3,37,8.657,25491081,6675702,-6087,-0.81,1,999999,999999,999999,999999
229,0,2018,6,5,3,39,29.199,25491081,6675702,-6087,-0.68,1,999999,999999,999999,999999
230,0,2018,6,5,3,44,24.368,25491081,6675702,-6087,-0.98,1,999999,999999,999999,999999
231,0,2018,6,5,3,45,35.041,25491081,6675702,-6087,-1.08,1,999999,999999,999999,999999
232,0,2018,6,5,3,45,42.521,25491081,6675702,-6087,-0.82,1,999999,999999,999999,999999
233,0,2018,6,5,3,48,13.626,25491081,6675702,-6087,-1.11,1,999999,999999,999999,999999
234,701,2018,6,5,3,50,48.119,25491073.18,6675629.381,-6074,-0.07,0,26,20,139,29
235,702,2018,6,5,3,53,14.963,25490830.12,6675481.846,-5821,-0.65,0,47,20,125,38
236,0,2018,6,5,3,53,29.718,25491081,6675702,-6087,-0.92,1,999999,999999,999999,999999
237,0,2018,6,5,3,55,36.107,25491081,6675702,-6087,-0.88,1,999999,999999,999999,999999
238,0,2018,6,5,3,56,25.756,25491081,6675702,-6087,-0.93,1,999999,999999,999999,999999
239,0,2018,6,5,4,1,16.09,25491081,6675702,-6087,-1.04,1,999999,999999,999999,999999
240,0,2018,6,5,4,1,22.776,25491081,6675702,-6087,-1.18,1,999999,999999,999999,999999
241,0,2018,6,5,4,4,26.087,25491081,6675702,-6087,-1.09,1,999999,999999,999999,999999
242,0,2018,6,5,4,5,12.737,25491081,6675702,-6087,-0.75,1,999999,999999,999999,999999
243,0,2018,6,5,4,6,18.984,25491081,6675702,-6087,-0.57,1,999999,999999,999999,999999
244,0,2018,6,5,4,6,50.647,25491081,6675702,-6087,-0.94,1,999999,999999,999999,999999
245,0,2018,6,5,4,7,30.51,25491081,6675702,-6087,-0.68,1,999999,999999,999999,999999
246,0,2018,6,5,4,7,48.53,25491081,6675702,-6087,-0.8,1,999999,999999,999999,999999
247,0,2018,6,5,4,11,59.193,25491081,6675702,-6087,-0.72,1,999999,999999,999999,999999
248,0,2018,6,5,4,12,39.022,25491081,6675702,-6087,-0.93,1,999999,999999,999999,999999
